18.0000,3.8066,1.5165,-9.0049
32.0000,-4.1751,6.5495,-10.7654
72.0000,2.9822,-6.7343,0.4722
10.0000,-2.9071,3.6405,-9.6584
5.0000,3.2547,0.8364,-7.9052
51.0000,2.2749,9.5557,-6.1714
35.0000,-0.9633,-0.9355,2.8487
42.0000,-7.0341,5.6247,1.4280
71.0000,3.4882,-7.3538,-1.2261
89.0000,5.8434,4.8299,8.0425
55.0000,4.0776,-7.9013,-2.2583
25.0000,-1.0366,0.1630,4.7155
63.0000,-0.1741,0.4659,-8.2650
24.0000,1.9085,1.5887,-9.8900
74.0000,0.2341,-2.8652,2.9670
62.0000,1.1897,-0.8549,-8.4459
59.0000,1.9309,-1.6048,-7.4221
43.0000,1.7860,8.1818,-5.0613
2.0000,5.7027,4.3466,9.2835
83.0000,7.2525,-2.3473,-5.3885
64.0000,0.4261,12.3015,-4.2689
31.0000,-1.3859,1.2227,-7.0055
23.0000,7.4552,8.3447,-8.4387
68.0000,3.4198,-8.3943,-3.8593
7.0000,7.0492,7.5902,-10.6884
66.0000,7.3182,8.4797,-10.3547
60.0000,6.1299,6.7269,5.9355
48.0000,9.4782,2.8694,2.9950
73.0000,2.6598,4.4481,7.9205
53.0000,-0.1059,-4.5698,-4.4554
45.0000,6.3776,7.9570,6.3141
57.0000,8.3841,3.1755,3.3004
82.0000,7.4957,8.7882,-8.8292
76.0000,9.9204,1.6612,3.8023
87.0000,-2.1526,-7.7137,-6.9736
58.0000,3.7740,1.1974,-8.1458
29.0000,4.5612,-2.1159,-4.4464
41.0000,-2.9900,5.3974,-8.1806
40.0000,-0.6339,-5.8651,-9.1980
19.0000,1.7464,9.0832,-6.4200
54.0000,0.9589,-4.9655,-2.0902
38.0000,-1.8997,-2.7882,-4.9361
11.0000,-0.4762,-2.2879,-2.9001
22.0000,4.4200,3.2293,-9.4724
33.0000,-3.6648,3.7596,-6.6169
6.0000,4.5808,7.1170,5.5532
17.0000,6.7339,5.6267,8.8329
78.0000,-1.8604,-4.2527,-2.7075
77.0000,-0.3223,-6.1655,-5.9570
26.0000,-1.8402,1.7193,1.6457
9.0000,9.8548,3.1671,4.6555
69.0000,-1.6066,-5.5709,-3.7072
86.0000,-6.2124,5.7641,0.1223
1.0000,3.2584,-8.9908,-0.5145
49.0000,7.4414,6.9337,-8.2876
79.0000,-3.3315,1.1677,-6.7106
20.0000,-4.3315,2.8276,-6.3238
81.0000,-2.1501,4.0437,-6.8192
65.0000,-1.9687,-5.7163,-8.1096
56.0000,0.5130,-0.7929,-6.9464
36.0000,-5.7987,7.6026,2.0983
16.0000,-7.0939,5.4078,1.9950
50.0000,7.1282,-3.7900,-4.7602
14.0000,-1.1642,-7.6737,-6.3594
61.0000,2.4823,-7.3513,-1.9251
27.0000,8.2222,8.7231,-8.9512
85.0000,-3.9528,3.5712,-10.2423
30.0000,4.2313,-4.4627,-4.7709
47.0000,-7.7816,6.1448,0.8521
0.0000,10.2789,2.4429,5.7767
80.0000,-4.5333,1.4197,-6.1123
39.0000,9.9264,3.9626,3.9179
52.0000,5.5994,7.6598,6.5215
15.0000,-1.2541,-7.8331,-5.0308
88.0000,1.1292,8.7265,-5.7836
28.0000,-1.2130,-0.0565,3.3452
4.0000,5.9247,5.9051,6.2656
44.0000,5.0174,7.3329,5.1330
75.0000,-1.2356,-0.5964,-5.1660
21.0000,0.9543,-1.2002,-7.7509
84.0000,1.7443,0.8863,2.0216
3.0000,1.2755,-3.2414,-5.6487
37.0000,4.2956,-1.6472,-6.7175
70.0000,6.8472,-3.4506,-7.4988
12.0000,7.0418,5.8043,6.5739
46.0000,1.6906,1.0659,-10.3812
34.0000,0.0222,10.3364,-6.7683
67.0000,0.6798,-1.7750,-5.6958
8.0000,5.5590,6.4381,7.7271
13.0000,-6.5733,7.7028,2.1932
