27.0000,7.3105,-9.6202
26.0000,2.5256,3.7280
43.0000,2.0792,1.1949
7.0000,-7.0055,-8.6457
30.0000,1.0381,3.1242
37.0000,9.3817,-9.5148
14.0000,8.2826,-9.2082
31.0000,-6.9581,-11.6021
42.0000,-5.5317,-7.9389
19.0000,-5.6297,-10.4173
3.0000,4.0985,-0.4520
1.0000,7.5351,-9.1271
22.0000,3.8066,1.5165
28.0000,5.2757,1.3372
44.0000,-5.3944,-8.0860
41.0000,1.7735,1.9801
20.0000,-5.2014,-7.7724
24.0000,1.6906,1.0659
23.0000,8.7669,-6.7468
47.0000,-5.1920,-8.7806
29.0000,9.1285,-7.5567
32.0000,4.0639,2.4154
39.0000,-3.9983,-7.4897
12.0000,-6.0429,-9.3362
35.0000,9.0881,-8.0002
38.0000,-7.3821,-8.4820
34.0000,9.0742,-9.4112
25.0000,-7.2618,-8.8920
48.0000,2.8077,0.4719
9.0000,3.7540,2.6428
49.0000,3.3298,2.4453
45.0000,8.9386,-8.4941
6.0000,-5.7400,-7.8436
8.0000,9.2520,-8.2888
16.0000,-5.6470,-8.5584
33.0000,9.0598,-8.8897
11.0000,-5.6783,-9.0886
40.0000,8.6650,-7.5041
5.0000,-7.3350,-10.6780
15.0000,4.9574,-1.8879
10.0000,10.2020,-9.4244
46.0000,8.0530,-9.1868
18.0000,-6.8804,-9.4231
13.0000,3.7740,1.1974
2.0000,7.3827,-8.7116
17.0000,3.3597,2.1273
36.0000,8.5037,-9.9938
0.0000,3.9588,1.5633
21.0000,-5.0504,-9.6254
4.0000,2.4968,0.3490
